"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","18","43","0","0","12","0","1","0","1","10","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","4","39","95","4","2","70","0","22","0","25","121","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","8","49","231","31","6","131","0","32","2","37","375","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","14","32","155","11","10","97","0","50","3","7","327","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","18","24","84","14","29","115","0","32","0","6","335","3","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4歳","13","18","46","8","45","112","3","27","4","0","316","2","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"5歳","43","17","22","4","52","114","5","21","1","2","297","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","38","30","12","8","53","105","4","7","1","1","123","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","59","28","5","2","35","97","7","8","1","0","60","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","43","35","3","5","37","69","6","5","0","0","45","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","38","47","4","1","19","48","3","0","1","0","28","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","102","356","2","1","38","97","6","1","1","0","36","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","25","254","0","0","7","21","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","15","449","2","3","13","76","1","1","0","0","10","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","30","412","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","34","447","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","11","444","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","8","242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","3","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","507","3152","704","92","346","1164","35","207","14","79","2088","21","16","5","1","12","0","1","1","0","0","2","0","0","1","0","0","1","1"
