"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","1","0","4","9","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","0","0","4","18","52","0","9","0","3","0","0","1","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","0","1","2","13","24","2","1","4","6","0","0","0","0","0","0","0","0","1","0","0","0","9","6","0","1","1","0"
"新宿区","0","6","9","27","46","1","2","3","2","1","0","0","1","0","0","1","0","0","0","0","0","12","8","1","2","2","0"
"文京","0","0","2","12","20","1","3","1","5","2","0","0","1","0","1","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","0","3","5","28","42","0","1","9","8","0","1","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","2","1","4","7","16","0","3","5","4","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"江東区","1","2","6","30","117","2","5","6","4","0","0","3","0","0","1","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","0","2","3","8","46","3","2","0","4","1","2","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","2","2","1","12","40","0","2","6","4","3","1","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","6","3","19","54","134","3","0","8","9","0","0","2","0","0","0","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","9","4","4","51","112","8","5","14","12","8","2","2","0","0","3","0","0","0","0","0","1","25","16","2","2","2","0"
"渋谷区","0","0","0","5","23","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"中野区","0","0","6","36","38","0","0","1","5","0","0","0","0","0","2","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","0","0","8","17","69","8","1","1","8","0","0","4","0","0","1","0","0","1","0","0","0","17","11","1","2","2","0"
"池袋","3","2","1","5","7","1","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","7","4","1","1","1","0"
"北区","0","0","2","13","38","0","2","6","6","0","1","1","0","0","1","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","6","3","1","28","39","1","0","2","5","1","3","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","1","0","4","23","25","2","1","2","3","0","0","0","0","0","2","0","0","0","0","0","0","15","9","2","1","1","0"
"練馬区","5","2","14","77","97","2","0","31","11","0","2","1","0","0","3","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","7","4","16","15","84","1","6","5","16","1","3","0","0","0","1","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","8","0","3","24","71","0","4","0","5","2","0","1","0","0","0","0","0","0","0","2","0","13","8","1","1","1","0"
"江戸川","3","0","13","38","94","5","1","1","7","3","1","1","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","0","4","14","60","154","4","1","3","8","1","2","0","0","0","2","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","0","0","0","76","108","3","1","5","4","0","1","1","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","1","0","8","19","46","1","3","0","2","4","0","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","1","0","8","20","33","0","2","7","4","0","1","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","2","0","2","39","76","4","2","12","13","2","0","1","0","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","5","4","12","85","119","6","2","18","16","2","3","1","0","0","2","0","0","1","1","0","0","32","21","3","3","3","0"
"多摩小平","1","2","22","84","146","7","6","13","18","1","7","0","0","0","2","0","0","0","0","0","0","23","15","2","2","2","0"
"島しょ","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","63","46","193","929","1925","66","65","164","197","32","30","20","2","0","23","1","0","3","1","4","1","416","262","38","25","25","0"
