"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","14","1","0","0","2","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"中央区","3","23","0","0","1","5","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","3","26","4","1","3","13","0","35","2","3","5","1","0","0","0","0","0","0","1","0","0","2","5","","","","","",""
"新宿区","1","31","0","4","8","8","0","14","0","1","3","0","1","0","0","1","0","0","0","0","0","0","2","","","","","",""
"文京","0","17","0","0","15","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","","","","","",""
"台東","3","8","1","2","6","17","0","29","0","1","3","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","2","37","2","0","7","16","0","24","0","1","1","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"江東区","0","38","1","2","17","22","0","77","1","0","14","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","4","14","2","0","6","13","0","23","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","17","0","0","3","5","0","19","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","0","61","11","5","5","41","0","58","3","1","23","1","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"世田谷","2","87","7","3","21","38","1","56","15","0","30","0","3","0","0","0","0","0","0","0","0","0","3","","","","","",""
"渋谷区","0","16","1","0","2","4","1","9","0","0","3","0","0","0","0","1","0","0","0","0","0","0","3","","","","","",""
"中野区","0","28","0","0","11","11","2","39","0","4","10","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"杉並","2","45","3","6","10","20","2","27","2","0","1","0","0","1","0","0","0","0","0","0","0","0","8","","","","","",""
"池袋","0","27","3","2","2","1","1","17","1","0","6","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北区","0","37","3","2","17","9","0","27","2","1","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","33","3","1","14","10","0","26","1","1","6","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","1","46","0","1","8","8","1","18","1","2","3","0","1","0","0","0","0","0","0","0","0","0","3","","","","","",""
"練馬区","1","59","2","3","27","25","5","47","0","2","33","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","0","89","8","7","15","26","2","30","1","3","15","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","1","31","0","0","5","7","0","21","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江戸川","2","74","0","4","16","19","1","64","0","2","24","3","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","1","53","2","5","36","31","0","96","1","2","22","2","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"町田市","0","30","1","0","18","23","0","37","0","2","16","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","25","1","0","3","5","0","35","2","1","4","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"南多摩","0","28","5","0","4","18","1","36","0","2","5","1","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"多摩立川","3","56","0","3","24","17","0","53","1","2","18","0","0","0","0","1","0","0","0","0","0","0","2","","","","","",""
"多摩府中","2","91","5","2","39","51","1","88","13","6","18","1","3","0","0","2","0","0","0","0","0","0","5","","","","","",""
"多摩小平","3","69","8","6","63","45","2","140","0","3","26","0","1","0","0","0","0","0","0","0","0","0","4","","","","","",""
"島しょ","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","35","1220","75","59","406","510","20","1185","46","41","314","12","13","1","0","10","0","0","1","0","0","2","53","","","","","",""
