"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","19","0","0","3","1","4","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","22","4","0","59","2","39","1","43","0","15","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","7","43","21","22","161","5","209","3","65","0","35","1","9","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","5","24","20","42","118","1","156","1","12","0","23","3","6","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","7","13","21","53","96","5","87","3","0","0","14","3","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"4歳","18","9","29","84","90","9","75","3","1","0","7","4","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"5歳","13","1","14","103","82","9","44","2","0","0","13","7","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"6歳","18","0","5","81","79","12","30","0","0","0","2","8","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","11","0","5","79","58","11","17","2","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","7","0","2","52","45","12","7","1","0","0","3","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","4","0","0","31","41","10","4","3","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","15","0","0","62","74","4","13","2","0","0","3","3","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","0","4","29","2","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","7","0","3","35","123","2","8","0","0","1","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","142","131","124","648","1058","85","697","21","121","2","119","40","33","3","0","28","1","1","6","0","0","0","0","0","0","0","0","0","0"
