"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","2","1","1","3","0","0","6","6","1","",""
"区南部","4","1","0","0","0","0","0","0","0","",""
"区西南部","9","1","0","1","0","0","23","14","0","",""
"区西部","24","4","3","15","0","0","40","7","8","",""
"区西北部","36","10","8","15","0","0","10","1","0","",""
"区東北部","10","2","3","2","0","0","3","0","0","",""
"区東部","26","7","6","27","0","0","6","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","8","0","1","",""
"北多摩西部","2","1","1","5","0","1","1","0","0","",""
"北多摩南部","4","2","2","6","0","1","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","117","29","24","74","0","2","98","28","10","",""
