"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","28","0","0","0","7","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","5","4","0","2","0","0"
"中央区","13","0","0","1","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"みなと","9","0","0","1","5","0","0","4","2","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","7","6","1","1","0","0"
"新宿区","21","0","0","0","34","6","1","0","1","0","0","0","0","2","3","0","0","5","0","0","0","0","0","0","7","6","2","2","0","0"
"文京","7","0","0","0","25","0","0","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","4","3","1","1","0","0"
"台東","24","0","0","9","25","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"墨田区","13","0","4","0","9","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","0","1","0","0"
"江東区","15","0","0","5","24","5","0","1","3","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","3","1","0","0","0"
"品川区","22","0","0","3","56","1","2","1","4","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","7","6","0","0","0","0"
"目黒区","7","0","0","3","11","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"大田区","33","0","2","3","76","9","0","7","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10","9","1","1","0","0"
"世田谷","53","0","0","2","65","5","3","2","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","9","8","0","2","0","0"
"渋谷区","22","0","1","0","50","7","0","1","1","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","5","4","1","2","0","0"
"中野区","84","0","2","0","71","14","2","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0"
"杉並","15","0","0","0","29","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0"
"池袋","0","0","0","0","3","2","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","5","4","1","1","0","0"
"長崎","0","0","0","0","11","4","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
