"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","36","1","11","1","2","1","5","0","0","",""
"区南部","2","0","0","0","0","0","0","0","0","",""
"区西南部","7","5","9","1","0","0","1","0","0","",""
"区西部","19","10","7","3","4","0","19","2","0","",""
"区西北部","22","4","5","0","1","1","0","0","0","",""
"区東北部","3","1","0","2","1","0","3","0","0","",""
"区東部","11","1","2","1","2","1","3","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","18","4","3","1","4","0","0","0","0","",""
"北多摩西部","14","2","0","1","1","0","0","0","0","",""
"北多摩南部","0","0","0","1","0","0","2","0","2","",""
"北多摩北部","2","0","0","0","1","0","5","7","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","134","28","37","11","16","3","38","9","2","",""
