"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","0","0"
"1〜4歳","0","0","0","0","0","0","1","6","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","24","4","4","7","3","0","0","0","0"
"20〜24歳","40","11","12","8","12","0","0","0","0"
"25〜29歳","28","14","4","6","6","0","0","0","1"
"30〜34歳","13","16","2","1","7","0","1","0","0"
"35〜39歳","12","3","0","1","2","1","0","0","0"
"40〜44歳","2","1","0","0","6","0","1","0","0"
"45〜49歳","0","1","0","0","5","0","3","0","0"
"50〜54歳","0","1","0","0","1","2","3","1","0"
"55〜59歳","0","1","0","0","0","0","0","0","0"
"60〜64歳","0","0","0","0","0","0","3","1","1"
"65〜69歳","0","0","0","0","0","0","7","1","0"
"70歳以上","0","0","0","0","1","0","16","1","0"
"合計","119","52","22","23","43","3","43","10","2"
