"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","18","6","8","22","162","10","0","5","4","0","1","6","1","1","0","2","0","0","2","1","0","0","","","","","",""
"区南部","7","6","5","41","157","5","1","3","5","1","0","5","1","1","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","16","11","7","47","199","14","0","6","5","0","0","3","3","0","0","3","0","0","4","0","1","0","","","","","",""
"区西部","8","8","2","26","123","11","3","2","3","0","0","1","1","0","0","1","0","0","4","0","0","0","","","","","",""
"区西北部","5","12","4","73","183","11","2","1","4","0","1","21","3","0","0","2","0","0","2","0","0","0","","","","","",""
"区東北部","8","9","7","31","247","16","2","7","8","2","2","12","1","1","0","4","0","0","3","0","0","0","","","","","",""
"区東部","15","12","5","54","271","13","1","8","3","0","2","11","0","0","0","1","1","0","1","0","0","0","","","","","",""
"西多摩","3","3","2","15","37","3","0","4","2","0","1","3","0","0","0","1","0","0","2","0","0","0","","","","","",""
"南多摩","14","18","4","62","227","20","1","9","7","0","1","11","3","2","0","1","0","0","1","0","0","0","","","","","",""
"北多摩西部","4","14","5","30","71","8","0","3","1","0","0","1","0","0","0","0","0","0","1","0","0","0","","","","","",""
"北多摩南部","5","7","16","28","138","10","2","1","11","2","0","15","1","0","0","1","0","0","1","0","0","2","","","","","",""
"北多摩北部","6","16","9","45","99","7","1","6","5","0","1","11","0","1","0","1","0","0","2","0","0","0","","","","","",""
"島しょ","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","109","124","74","474","1914","128","13","55","58","5","9","100","14","6","0","18","1","0","23","1","1","2","","","","","",""
