"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","11","2","14","69","23","2","2","4","0","0","1","0","0","0","0","0","0","3","0","0","0","","","","","",""
"区南部","4","8","11","18","96","5","3","2","5","0","0","2","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","3","9","11","21","79","13","2","3","8","0","0","0","3","0","0","0","2","0","1","0","0","0","","","","","",""
"区西部","0","10","7","12","79","18","4","0","5","0","0","1","0","0","0","0","0","0","1","0","0","0","","","","","",""
"区西北部","8","13","3","29","155","18","5","0","11","1","0","4","0","0","0","3","0","0","0","0","0","1","","","","","",""
"区東北部","4","6","4","21","167","6","5","0","11","0","1","3","1","0","0","1","0","0","0","0","1","0","","","","","",""
"区東部","6","13","15","29","127","12","5","0","7","0","2","4","0","0","0","2","0","1","0","0","0","0","","","","","",""
"西多摩","2","2","1","2","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","21","9","55","245","18","6","1","12","0","3","6","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","6","10","0","18","22","4","4","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","18","5","5","17","91","9","1","1","2","0","0","1","0","0","0","0","0","0","1","0","0","1","","","","","",""
"北多摩北部","8","10","10","22","50","4","1","1","7","0","0","2","2","0","0","0","0","1","0","0","0","1","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","61","118","78","258","1196","131","38","11","73","1","6","25","9","0","0","6","2","2","6","0","1","3","","","","","",""
