"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","8","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","15","0","0","3","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","24","1","4","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","40","0","0","0","7","5","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","","","","","",""
"文京","27","1","1","3","3","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","14","0","1","3","11","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","25","0","0","1","11","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","48","0","0","3","14","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","20","0","0","6","30","2","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","10","0","0","2","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","55","2","1","16","30","11","0","0","3","0","0","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"世田谷","80","0","1","1","19","11","1","2","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","16","0","1","0","7","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","39","0","0","7","20","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","69","0","0","2","19","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","31","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","40","0","0","2","8","2","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","31","0","0","1","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","28","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","65","0","0","10","8","3","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","43","0","0","0","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","30","0","0","0","6","4","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","184","0","2","4","9","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","47","0","0","3","2","4","1","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"町田市","40","0","0","7","14","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","47","0","0","0","16","6","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","47","0","0","6","14","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","35","0","0","1","6","1","1","0","2","0","0","0","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","95","0","0","4","10","7","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","67","0","1","7","25","9","3","1","2","0","0","1","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1321","4","12","97","322","117","7","30","26","1","0","1","0","13","3","2","0","2","0","0","2","0","0","","","","","",""
