"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","10","10","7","12","0","0","24","3","0","",""
"区南部","3","0","0","0","0","0","0","0","0","",""
"区西南部","18","1","1","10","0","0","9","5","0","",""
"区西部","37","6","11","19","0","0","21","2","1","",""
"区西北部","21","3","8","12","0","1","7","0","0","",""
"区東北部","3","1","0","1","0","0","0","0","0","",""
"区東部","15","9","7","24","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","2","0","0","0","0","",""
"北多摩西部","2","1","0","8","0","1","0","0","0","",""
"北多摩南部","8","5","3","4","0","3","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","5","0","1","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","117","36","37","90","2","5","66","10","2","",""
