"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","5","5","1"
"1〜4歳","0","0","0","0","0","0","0","19","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","1","0","0","0","0","0","0","0"
"15〜19歳","11","0","2","0","1","0","1","0","0"
"20〜24歳","46","6","4","7","8","0","1","0","0"
"25〜29歳","24","9","3","7","5","0","1","1","0"
"30〜34歳","5","8","2","5","6","0","1","0","0"
"35〜39歳","6","6","2","0","5","0","0","0","0"
"40〜44歳","5","3","1","0","5","0","0","0","0"
"45〜49歳","1","1","0","0","0","0","1","0","0"
"50〜54歳","1","1","0","0","1","0","2","0","0"
"55〜59歳","1","0","0","1","0","0","1","0","0"
"60〜64歳","0","1","0","0","0","0","4","1","0"
"65〜69歳","0","1","0","0","0","0","4","1","0"
"70歳以上","0","0","0","0","0","0","27","4","2"
"合計","100","37","14","20","31","0","48","31","3"
