"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","8","13","6","1","1","25","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"〜1歳","28","43","3","1","0","51","0","1","0","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"1歳","92","54","24","9","15","125","2","3","0","27","1","1","1","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","2","3"
"2歳","88","34","12","10","35","111","3","0","1","9","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"3歳","148","36","6","14","62","113","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"4歳","207","33","2","11","95","133","1","0","3","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","265","38","3","15","99","117","3","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"6歳","367","37","0","11","129","109","6","0","5","0","2","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","2"
"7歳","459","31","0","3","91","99","5","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","1"
"8歳","484","26","0","2","78","99","13","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"9歳","482","31","0","2","58","76","2","0","2","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"10〜14歳","1434","146","0","2","114","186","12","0","3","0","0","3","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"15〜19歳","318","110","0","1","6","40","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","230","212","0","4","58","184","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"30〜39歳","273","222","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"40〜49歳","242","280","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","2"
"50〜59歳","53","236","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","13","0","0","0","0","0","1","0","0","0","13"
"60〜69歳","21","149","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","2","0","8"
"70〜79歳","6","103","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","25","0","0","0","0","0","0","0","1","2","23"
"80歳以上","9","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","49","0","0","0","0","0","3","0","6","1","43"
"合計","5214","1940","56","86","841","1468","49","4","16","53","4","14","6","2","2","20","0","0","1","0","0","12","119","0","0","0","0","0","12","0","13","6","105"
