"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","32","10","6","13","5","12","1","0","1","",""
"区南部","4","0","0","0","1","0","0","1","0","",""
"区西南部","12","10","5","5","2","1","4","0","0","",""
"区西部","10","7","19","1","2","1","6","1","0","",""
"区西北部","15","8","0","3","2","0","0","1","0","",""
"区東北部","6","2","0","0","1","0","3","2","0","",""
"区東部","12","0","0","1","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","12","4","3","0","1","0","1","0","0","",""
"北多摩西部","12","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","11","0","1","",""
"北多摩北部","0","1","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","115","42","33","23","14","14","26","5","2","",""
