"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","10","0","0"
"1〜4歳","0","0","0","0","0","0","6","3","0"
"5〜9歳","0","0","0","0","0","0","1","3","0"
"10〜14歳","0","0","0","0","0","0","5","1","0"
"15〜19歳","7","1","3","2","2","0","0","0","0"
"20〜24歳","39","7","11","20","1","0","0","0","0"
"25〜29歳","34","11","10","15","2","4","0","0","0"
"30〜34歳","29","15","15","15","1","4","3","0","0"
"35〜39歳","27","13","11","11","0","2","0","0","0"
"40〜44歳","13","20","8","14","2","2","1","0","0"
"45〜49歳","19","9","6","13","2","0","1","0","0"
"50〜54歳","6","4","1","8","1","1","1","0","0"
"55〜59歳","2","5","1","1","0","0","2","0","0"
"60〜64歳","3","3","1","0","0","0","6","0","0"
"65〜69歳","1","4","1","0","1","0","1","0","0"
"70歳以上","0","3","1","0","0","0","33","2","2"
"合計","180","95","69","99","12","13","70","9","2"
