"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","2","0","0","9","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","11","0","0","1","7","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"みなと","15","1","1","4","48","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","24","0","0","7","35","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"文京","15","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"台東","10","0","0","4","12","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","14","0","0","3","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","16","0","0","2","52","3","0","0","4","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"品川区","13","0","1","9","66","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","9","0","3","1","14","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"大田区","29","0","3","9","68","4","0","2","0","0","0","1","1","0","0","0","0","0","0","0","","","","","",""
"世田谷","52","0","0","3","47","0","0","0","1","0","0","3","1","0","0","0","0","0","0","0","","","","","",""
"渋谷区","10","0","0","1","18","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","24","0","0","4","60","4","0","0","0","0","0","1","2","0","0","0","0","0","0","0","","","","","",""
"杉並","31","1","1","4","40","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","14","0","0","3","12","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北区","11","0","0","0","33","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","16","0","0","7","21","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","20","0","0","0","22","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","33","0","0","7","27","3","0","0","2","1","0","1","0","0","0","2","0","0","0","0","","","","","",""
"足立","17","0","0","3","35","4","0","0","1","0","0","1","0","0","1","0","0","0","0","0","","","","","",""
"葛飾区","44","0","0","5","19","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","38","1","0","21","49","4","0","1","2","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","28","2","2","22","74","13","0","2","2","0","0","0","2","0","0","3","0","0","0","0","","","","","",""
"町田市","80","0","0","30","70","4","0","3","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","37","0","0","3","26","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"南多摩","20","0","0","3","16","0","3","1","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","26","0","0","1","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","69","0","0","2","28","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","45","0","4","7","57","5","0","0","3","0","0","0","0","0","0","3","0","0","0","0","","","","","",""
"島しょ","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","775","8","15","167","984","76","7","10","35","2","1","23","6","0","1","10","0","0","1","0","","","","","",""
