"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","22","6","2","0","1","0","6","4","1","",""
"区南部","3","0","0","0","0","0","0","1","0","",""
"区西南部","7","3","6","0","0","0","3","0","0","",""
"区西部","6","11","9","5","1","1","20","3","0","",""
"区西北部","15","5","2","1","1","1","2","6","0","",""
"区東北部","2","0","2","3","0","0","1","2","0","",""
"区東部","14","3","0","1","0","0","3","1","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","9","2","1","0","1","0","0","0","0","",""
"北多摩西部","12","1","0","0","1","0","0","0","0","",""
"北多摩南部","0","1","0","0","0","0","6","2","0","",""
"北多摩北部","1","1","0","0","0","0","5","7","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","91","33","22","10","5","2","46","26","1","",""
