"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","5","1","0","6","0","13","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","23","3","1","54","1","110","0","22","0","24","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","45","17","11","79","2","368","2","47","0","78","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","15","11","20","58","2","232","1","10","0","56","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","7","23","21","43","1","127","0","3","0","27","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","1","4","16","36","41","2","94","3","1","0","30","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","2","0","10","29","31","3","55","2","0","0","13","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","1","1","7","19","28","6","26","0","0","0","16","6","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","2","0","2","19","23","3","20","1","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","2","0","5","24","19","5","12","2","0","1","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","2","0","4","10","8","0","9","1","0","0","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","1","23","41","5","5","0","0","0","4","7","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","1","4","11","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","5","15","65","1","24","2","0","2","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","16","100","106","232","507","31","1096","14","84","3","266","40","20","0","1","16","1","0","0","0","0","0","0","0","0","0","0","0","0"
