"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","33","169","5","11","10","22","0","15","1","1","9","0","0","0","0","0","0","0","1","0","0","1","","","","","",""
"区南部","35","196","4","10","11","39","2","16","0","2","9","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","31","236","13","40","6","39","1","7","0","2","16","0","1","0","0","2","0","0","0","0","0","2","","","","","",""
"区西部","19","213","1","9","13","40","3","4","0","2","2","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","48","388","1","11","15","42","0","10","2","6","11","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","34","235","5","7","15","46","0","11","1","0","4","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区東部","32","360","4","25","16","45","1","7","0","2","4","0","0","0","0","1","0","0","0","0","0","2","","","","","",""
"西多摩","1","52","0","0","1","6","1","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","29","311","4","9","14","81","2","7","0","2","17","1","1","0","0","2","0","0","0","0","0","1","","","","","",""
"北多摩西部","12","169","2","3","15","12","0","14","0","1","7","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","10","291","5","3","19","36","0","8","0","1","7","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","21","203","1","5","10","64","2","8","1","5","6","0","0","0","0","1","0","0","0","0","0","2","","","","","",""
"島しょ","1","21","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","306","2844","45","134","145","472","12","114","5","24","95","2","6","1","0","7","0","0","1","0","0","8","","","","","",""
