"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","6","5","11","32","5","9","2","9","0","2","3","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区南部","0","7","1","6","61","5","4","3","8","1","2","1","3","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","2","9","9","12","59","4","4","5","4","0","0","1","3","0","0","0","0","0","3","0","0","0","","","","","",""
"区西部","3","5","3","5","31","3","5","5","9","0","1","1","2","1","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","7","5","2","20","27","22","11","9","10","0","8","4","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","1","11","7","20","61","9","15","3","8","1","1","12","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","0","13","2","14","59","8","5","5","11","0","3","3","1","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","2","7","0","6","11","2","1","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","16","1","60","73","5","3","12","12","3","5","6","2","0","0","1","0","1","0","0","0","0","","","","","",""
"北多摩西部","1","7","0","24","28","1","4","4","4","0","2","1","0","0","0","1","0","1","0","0","0","0","","","","","",""
"北多摩南部","2","10","2","32","33","5","4","1","7","0","2","1","1","1","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","6","5","14","14","10","3","6","6","0","4","1","0","0","0","2","0","2","1","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","19","102","37","225","489","80","68","55","92","5","30","36","13","3","0","9","0","4","4","0","0","0","","","","","",""
