"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","3","0","0","0","3","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","4","0","1","17","2","0","0","6","0","0","0","1","0","0","0","0","0","0","0"
"1歳","15","1","0","3","46","18","0","1","9","2","1","1","2","0","0","0","0","0","1","0"
"2歳","12","0","3","0","31","12","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"3歳","12","0","1","2","19","12","1","0","0","0","0","2","0","0","0","0","0","0","0","0"
"4歳","23","0","2","6","29","12","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"5歳","27","0","1","6","19","11","1","0","0","0","0","4","0","0","0","0","0","0","0","0"
"6歳","32","0","0","6","14","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"7歳","12","0","1","5","13","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0"
"8歳","18","0","0","6","9","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"9歳","15","0","0","3","7","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10〜14歳","63","1","0","6","20","7","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"15〜19歳","30","0","0","0","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","86","0","1","12","75","2","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"30〜39歳","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60〜69歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","546","6","9","56","310","87","4","3","16","3","1","17","3","0","0","3","0","0","2","0"
