"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","82","24","787","6","0","10","56","1","5","0","3","2","1","1","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"区南部","89","18","622","15","1","14","49","1","1","2","7","3","1","0","0","0","2","0","0","0","0","0","1","0","","","","","","",""
"区西南部","159","25","831","8","2","7","27","0","1","1","0","1","0","1","1","0","0","0","0","0","0","0","2","2","","","","","","",""
"区西部","165","17","1036","7","2","28","29","2","5","0","2","0","0","1","0","0","0","0","0","3","0","0","3","3","","","","","","",""
"区西北部","162","30","1260","4","2","20","67","2","2","2","2","0","1","0","2","0","3","0","0","0","0","0","0","1","","","","","","",""
"区東北部","89","19","1023","20","5","20","58","2","3","3","0","5","1","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"区東部","121","40","1071","6","4","14","54","2","2","1","3","5","0","0","0","0","4","0","0","0","0","0","1","0","","","","","","",""
"西多摩","14","9","177","2","0","5","9","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"南多摩","174","39","2185","8","0","56","106","4","0","3","3","8","3","3","0","0","2","0","0","0","0","0","0","4","","","","","","",""
"北多摩西部","32","12","404","4","0","10","28","0","10","0","1","4","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"北多摩南部","82","23","970","5","1","19","35","1","1","0","4","4","0","0","0","0","1","0","0","1","0","0","1","6","","","","","","",""
"北多摩北部","44","13","688","3","1","13","54","4","4","2","4","7","0","3","0","0","0","0","0","2","0","0","1","7","","","","","","",""
"島しょ","1","4","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","1214","273","11067","89","18","216","572","20","35","14","29","39","7","9","3","0","13","0","0","8","0","0","9","24","","","","","","",""
