"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","5","15","3","1","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"〜1歳","27","32","13","2","3","55","2","0","0","10","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","72","61","22","6","15","123","2","0","1","35","1","0","3","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","0","2"
"2歳","100","41","11","9","49","97","0","1","3","8","1","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"3歳","152","37","7","8","79","95","1","0","2","2","0","1","3","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","1"
"4歳","200","30","3","8","89","120","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","2"
"5歳","284","33","0","6","110","122","6","0","1","1","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"6歳","400","34","2","12","111","118","11","0","1","0","0","2","0","0","0","1","0","0","0","0","0","2","2","0","0","0","0","0","2","0","1","0","1"
"7歳","502","26","2","4","95","108","12","0","0","0","0","1","1","0","0","0","0","0","0","0","0","4","1","0","0","1","0","0","3","1","0","0","1"
"8歳","576","24","0","2","88","89","5","0","1","0","0","3","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","1","1","0","0","1"
"9歳","528","24","0","1","77","77","4","0","3","0","0","1","0","0","0","0","0","0","0","0","0","4","1","0","0","1","1","1","3","1","0","0","1"
"10〜14歳","1695","137","0","1","126","187","13","0","2","0","0","2","0","0","0","0","0","0","0","0","0","6","1","1","0","0","0","0","5","0","0","0","1"
"15〜19歳","352","110","2","0","7","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"20〜29歳","166","174","0","1","29","158","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"30〜39歳","252","188","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","3","0","0","0","0","0","2","0","0","0","3"
"40〜49歳","182","219","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","5","0","0","0","0","0","1","0","0","0","5"
"50〜59歳","58","244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","1","1","9"
"60〜69歳","23","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","3","0","12"
"70〜79歳","9","99","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","27","1","0","0","0","0","0","0","4","0","23"
"80歳以上","5","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","48","0","0","0","0","0","1","0","9","1","39"
"合計","5588","1767","65","61","879","1408","57","1","16","58","3","12","10","1","0","10","0","0","0","0","1","27","128","2","0","4","1","1","21","4","20","2","108"
