"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","0","1","0","0","6","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","5","2","5","0","24","0","1","18","0","0","1","0","0","0","0","0","0","0","0","0"
"1歳","0","0","2","0","8","3","12","1","8","0","0","73","1","4","2","0","0","0","0","0","0","0","0","0"
"2歳","0","0","0","0","9","7","13","6","0","0","0","53","1","3","2","0","0","1","0","0","0","0","0","0"
"3歳","0","0","1","0","17","17","8","5","0","0","0","55","0","5","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","0","5","15","11","10","6","0","0","0","61","1","20","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","1","3","19","4","5","10","0","0","0","32","1","10","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","5","4","6","2","8","0","0","0","24","1","6","1","0","0","1","0","0","0","0","0","0"
"7歳","0","0","0","4","10","6","2","7","0","0","0","7","0","5","0","1","0","0","0","0","0","0","0","0"
"8歳","0","0","0","1","6","1","0","0","0","0","0","4","0","4","1","0","0","1","0","0","0","0","0","0"
"9歳","0","0","0","2","3","1","0","4","0","0","0","3","1","6","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","1","12","0","3","4","0","0","0","9","1","4","0","0","0","2","0","0","0","1","0","0"
"15〜19歳","0","0","0","1","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","2","6","34","1","1","2","0","0","0","4","2","3","1","0","0","3","0","0","1","0","0","3"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","6","28","148","60","61","53","38","0","1","347","11","70","10","1","0","13","0","0","1","1","0","5"
