"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","16","2","1","0","1","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","2","6","1","0","1","17","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","4","30","9","0","4","5","3","3","0","2","17","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","2","30","10","0","2","12","0","0","1","0","13","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"文京","2","15","2","1","1","9","1","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","13","19","3","1","1","20","0","0","0","1","15","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","9","52","6","0","0","7","0","3","0","1","5","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","5","34","13","0","8","30","1","2","0","1","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","11","18","0","0","1","14","0","1","0","2","26","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","5","13","5","0","2","6","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","31","49","30","4","14","63","0","1","0","3","55","0","2","0","0","0","0","0","0","0","0","1","","","","","",""
"世田谷","10","105","26","3","23","42","0","5","0","1","63","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"渋谷区","3","13","2","0","0","9","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中野区","0","41","7","0","6","10","1","2","1","1","16","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","5","43","5","0","6","21","0","7","0","1","10","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","1","33","6","3","3","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","7","58","5","3","3","19","0","7","0","2","20","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","5","36","12","0","3","15","2","0","0","2","16","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","1","44","4","1","3","17","3","3","0","0","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","27","63","19","0","9","41","0","0","0","2","44","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","2","53","19","2","3","50","0","4","0","3","42","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","4","31","6","0","2","25","0","3","0","1","21","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","6","50","19","4","9","38","0","1","0","2","47","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","8","61","15","10","14","90","0","11","0","3","70","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","2","30","0","0","6","28","0","2","2","0","16","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","9","23","5","2","2","16","0","1","0","0","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","2","41","10","1","2","36","0","5","1","0","21","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","7","45","24","1","18","37","0","7","0","1","34","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","20","91","20","2","13","66","5","8","1","4","82","1","3","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","39","72","21","9","18","59","3","5","1","4","79","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","245","1228","306","48","177","806","21","85","7","37","771","4","18","2","0","2","0","0","0","0","0","2","","","","","",""
