"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1〜4歳","0","0","0","0","0","0","2","0","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","7","1","0","1","0","0","0","0","0"
"20〜24歳","44","10","9","9","2","0","0","0","0"
"25〜29歳","37","8","10","12","0","0","1","0","0"
"30〜34歳","28","8","11","7","0","0","1","0","0"
"35〜39歳","18","9","2","3","2","0","0","0","0"
"40〜44歳","5","8","6","1","0","0","0","0","0"
"45〜49歳","3","8","5","4","0","0","4","0","0"
"50〜54歳","11","5","1","4","3","0","1","0","0"
"55〜59歳","2","2","3","3","0","0","5","0","0"
"60〜64歳","2","3","0","0","0","0","5","0","0"
"65〜69歳","1","1","0","0","0","0","3","0","0"
"70歳以上","0","0","0","0","0","0","39","2","1"
"合計","158","63","47","44","7","0","65","2","1"
