"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","2","0"
"1〜4歳","0","0","0","0","0","0","7","6","0"
"5〜9歳","0","0","0","0","0","0","1","0","0"
"10〜14歳","1","0","0","0","0","0","0","0","0"
"15〜19歳","9","0","1","0","1","0","0","0","0"
"20〜24歳","19","10","11","7","2","0","1","0","0"
"25〜29歳","29","9","3","2","1","0","1","0","0"
"30〜34歳","9","5","3","1","3","0","0","0","0"
"35〜39歳","5","2","1","0","3","0","2","0","0"
"40〜44歳","3","5","0","0","1","0","0","0","1"
"45〜49歳","0","2","2","0","2","0","0","0","0"
"50〜54歳","0","3","0","0","0","0","2","0","0"
"55〜59歳","1","2","0","0","1","0","1","0","0"
"60〜64歳","0","2","0","0","1","0","4","1","0"
"65〜69歳","0","2","0","0","0","0","3","0","0"
"70歳以上","0","3","0","0","0","0","14","1","1"
"合計","76","45","21","10","15","0","42","10","2"
