"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","8","2","8","29","2","35","10","6","7","2","1","0","0","1","0","0","4","0","0","0","","","","","",""
"区南部","4","12","1","10","49","4","6","7","3","3","1","0","1","0","2","0","0","0","0","0","0","","","","","",""
"区西南部","6","21","5","22","47","4","17","14","4","7","2","4","1","0","0","0","1","1","0","0","0","","","","","",""
"区西部","1","17","1","13","41","3","10","7","7","2","0","1","1","1","1","0","0","0","0","0","0","","","","","",""
"区西北部","2","7","1","23","50","8","20","13","6","10","3","2","0","0","2","0","0","0","0","0","0","","","","","",""
"区東北部","3","10","4","16","57","4","22","6","8","6","0","1","0","0","4","0","0","0","0","0","0","","","","","",""
"区東部","2","9","3","11","53","1","20","8","6","5","1","3","0","0","1","0","0","1","0","0","0","","","","","",""
"西多摩","5","5","1","1","12","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"南多摩","1","24","1","26","60","6","16","23","3","7","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","1","3","0","14","20","2","6","3","4","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","6","1","8","29","1","7","9","8","11","1","8","0","0","1","0","1","1","0","0","0","","","","","",""
"北多摩北部","1","9","3","14","13","2","13","10","2","3","2","3","0","0","2","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","28","131","23","166","460","38","173","111","58","66","13","24","3","1","15","0","2","7","0","0","0","","","","","",""
