"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","12","7","2","0","3","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","13","7","0","2","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","42","18","2","1","8","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"新宿区","39","24","1","1","12","7","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","5","","","","","",""
"文京","40","13","0","0","12","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","","","","","",""
"台東","32","3","0","0","19","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","50","32","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","",""
"江東区","135","25","0","0","16","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","53","22","0","1","3","15","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","23","8","1","0","9","16","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","140","28","2","2","9","55","3","0","1","3","1","1","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"世田谷","150","46","4","2","17","55","2","0","0","3","0","1","1","0","0","1","0","0","0","0","0","2","5","","","","","",""
"渋谷区","16","7","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","",""
"中野区","82","21","5","1","20","32","7","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","77","18","1","0","8","11","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","","","","","",""
"池袋","40","24","0","1","3","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北区","68","27","1","1","20","21","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","79","26","1","1","20","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","107","27","0","1","11","25","0","0","2","1","0","3","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"練馬区","167","57","2","0","19","34","3","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","142","42","3","6","31","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","81","40","0","1","10","20","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","3","","","","","",""
"江戸川","107","29","2","3","34","44","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","268","48","2","2","21","51","4","0","2","4","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","",""
"町田市","89","23","0","1","13","27","0","0","0","3","0","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","104","30","0","4","4","15","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"南多摩","136","28","0","0","1","24","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","196","36","1","0","50","42","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩府中","317","59","1","4","44","60","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","6","15","","","","","",""
"多摩小平","239","64","0","8","57","67","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","16","","","","","",""
"島しょ","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3044","849","31","43","484","763","36","0","11","29","3","10","4","1","0","4","0","0","0","0","0","15","71","","","","","",""
