"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","1","0"
"1〜4歳","0","0","0","0","0","0","2","0","0"
"5〜9歳","0","0","0","0","0","0","0","1","0"
"10〜14歳","0","0","0","0","0","0","0","1","0"
"15〜19歳","1","0","1","2","0","0","3","1","0"
"20〜24歳","14","1","5","9","0","0","0","0","0"
"25〜29歳","24","6","7","10","0","0","2","0","0"
"30〜34歳","15","7","16","15","0","0","1","0","0"
"35〜39歳","12","5","8","8","0","0","0","0","0"
"40〜44歳","6","8","7","8","0","0","1","0","0"
"45〜49歳","8","11","9","4","0","0","1","0","0"
"50〜54歳","6","10","6","4","0","0","2","1","0"
"55〜59歳","3","6","2","1","0","0","1","0","0"
"60〜64歳","3","5","1","1","0","0","1","0","0"
"65〜69歳","1","2","1","1","0","0","1","0","0"
"70歳以上","0","4","0","0","0","0","11","1","0"
"合計","93","65","63","63","0","0","30","6","0"
