"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","155","2","4","12","49","8","1","1","4","0","1","1","0","1","1","0","0","1","0","0","1","0","0","","","","","",""
"区南部","180","0","5","21","83","10","0","3","6","0","0","1","0","5","1","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","144","0","0","10","54","7","0","2","3","0","0","0","0","2","1","1","0","0","0","0","0","0","0","","","","","",""
"区西部","246","0","0","12","55","4","2","0","4","0","0","0","0","1","3","0","0","0","0","0","1","0","0","","","","","",""
"区西北部","352","1","1","6","52","9","0","9","4","0","0","0","0","6","1","0","0","1","0","0","1","0","0","","","","","",""
"区東北部","167","2","2","12","29","11","0","5","6","0","0","0","0","2","0","1","0","1","0","0","0","0","0","","","","","",""
"区東部","205","1","5","13","42","10","0","2","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","134","0","1","3","8","6","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","145","0","0","10","45","5","1","1","2","0","0","0","1","3","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","123","0","0","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","155","1","0","7","40","1","0","1","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","149","2","1","16","36","8","1","2","4","0","0","0","0","6","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","4","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2159","9","19","123","503","82","5","27","36","0","1","2","2","33","9","2","0","3","0","0","3","0","0","","","","","",""
