"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","5","0"
"1〜4歳","0","0","0","0","0","0","7","9","1"
"5〜9歳","0","0","0","0","0","0","1","4","0"
"10〜14歳","0","0","1","0","0","0","0","0","0"
"15〜19歳","6","0","1","6","0","0","2","1","0"
"20〜24歳","24","4","4","11","1","1","4","0","0"
"25〜29歳","20","5","6","17","0","0","2","0","0"
"30〜34歳","22","9","4","20","0","0","2","0","0"
"35〜39歳","9","12","1","15","0","0","5","2","0"
"40〜44歳","14","2","3","7","0","1","0","1","0"
"45〜49歳","7","5","1","6","0","0","3","0","0"
"50〜54歳","4","4","0","4","0","0","3","1","0"
"55〜59歳","0","4","1","2","0","0","8","2","1"
"60〜64歳","1","1","0","1","0","0","11","1","0"
"65〜69歳","0","1","0","0","1","0","10","3","1"
"70歳以上","0","0","1","0","0","0","43","3","1"
"合計","107","47","23","89","2","2","107","32","4"
