"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","3","0","1","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","44","6","3","0","32","2","0","1","20","0","1","1","2","0","0","0","1","0","0","0","0","2","0","0","1","0","0","1","1"
"1歳","148","7","4","12","76","18","2","0","34","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","137","2","4","13","60","17","1","2","2","0","1","1","0","0","0","0","0","0","0","0","0","2","0","0","1","1","1","1","1"
"3歳","213","1","1","24","57","12","1","1","1","0","0","2","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","341","1","7","48","74","19","1","2","1","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5歳","450","0","1","53","51","13","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","1","1","0","0","0","1","0"
"6歳","434","0","1","45","43","17","0","5","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"7歳","415","0","2","17","31","5","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","340","0","2","32","31","5","0","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"9歳","332","0","0","17","22","2","0","2","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10〜14歳","959","0","1","41","85","6","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"15〜19歳","162","0","0","5","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","102","0","0","5","68","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","1","0"
"50〜59歳","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"60〜69歳","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"70〜79歳","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"80歳以上","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0"
"合計","4742","20","26","313","653","119","6","17","60","2","2","18","9","3","0","7","1","1","1","1","1","16","1","1","2","1","1","13","2"
