"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","9","33","839","3","5","19","63","3","17","1","1","8","0","1","0","0","3","0","0","1","0","0","1","4","","","","","","",""
"区南部","4","25","527","7","2","37","55","4","13","9","3","5","0","2","0","0","1","0","0","0","0","0","1","1","","","","","","",""
"区西南部","3","26","808","5","3","20","48","10","6","7","0","15","2","1","0","0","4","0","0","0","0","0","0","4","","","","","","",""
"区西部","5","50","916","1","8","28","45","13","6","4","4","7","1","1","0","0","1","0","0","1","0","0","0","1","","","","","","",""
"区西北部","7","61","1405","1","13","45","75","8","3","3","7","14","1","4","1","0","3","0","0","0","0","0","0","3","","","","","","",""
"区東北部","4","38","1110","3","8","18","58","7","2","13","7","2","3","1","1","0","1","0","0","0","1","0","0","1","","","","","","",""
"区東部","2","30","1144","2","13","46","82","3","3","1","4","7","0","1","0","0","3","0","0","1","0","0","0","0","","","","","","",""
"西多摩","0","4","148","1","0","3","6","1","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"南多摩","4","33","2108","1","3","48","156","20","18","22","15","13","1","1","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"北多摩西部","4","23","401","3","2","20","22","7","1","3","1","7","0","0","0","0","1","0","0","1","0","0","0","1","","","","","","",""
"北多摩南部","2","28","1040","0","2","49","51","8","4","9","2","3","1","2","0","0","2","0","0","1","0","0","0","1","","","","","","",""
"北多摩北部","5","17","732","1","3","29","49","8","1","12","6","3","2","1","0","0","1","0","1","1","0","0","0","2","","","","","","",""
"島しょ","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","",""
"合計","49","369","11187","28","62","362","710","92","75","90","51","85","11","15","2","0","21","0","1","7","1","0","2","21","","","","","","",""
