"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","1","0","7","21","1","11","1","6","0","4","2","0","1","0","1","0","0","0","0","0","","","","","",""
"区南部","0","8","4","11","43","2","12","1","7","0","8","2","1","0","0","0","0","0","1","0","0","","","","","",""
"区西南部","2","5","3","18","21","12","8","0","7","1","2","1","2","1","0","1","0","1","4","0","0","","","","","",""
"区西部","0","3","0","13","47","3","5","2","3","0","1","10","2","0","0","1","0","1","3","0","0","","","","","",""
"区西北部","0","3","1","2","43","11","22","2","8","0","5","6","1","0","0","4","0","0","0","0","0","","","","","",""
"区東北部","0","7","0","11","58","8","15","1","6","1","7","3","3","0","0","1","0","0","8","0","0","","","","","",""
"区東部","1","11","4","9","48","4","28","2","13","0","12","2","5","0","0","1","0","1","1","0","0","","","","","",""
"西多摩","0","3","0","1","12","2","9","2","1","0","2","1","1","0","0","0","1","0","1","0","0","","","","","",""
"南多摩","1","10","2","30","37","14","49","5","8","0","15","2","2","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","0","2","0","1","14","2","7","0","1","1","2","1","1","1","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","7","1","12","16","2","12","5","16","0","5","2","3","0","0","0","0","1","5","0","0","","","","","",""
"北多摩北部","0","9","2","13","18","10","10","2","4","1","7","3","1","1","0","3","0","0","9","0","0","","","","","",""
"島しょ","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","5","69","17","128","378","72","188","26","80","4","70","35","22","4","0","13","1","4","32","0","0","","","","","",""
