"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","30","28","3","3","12","0","8","4","0","",""
"区南部","2","1","0","0","0","0","0","0","0","",""
"区西南部","2","0","0","0","0","0","5","2","0","",""
"区西部","24","9","12","6","2","1","14","2","0","",""
"区西北部","13","4","1","2","1","0","9","0","0","",""
"区東北部","3","1","0","0","0","0","0","0","0","",""
"区東部","3","2","0","0","0","0","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","10","2","1","1","2","0","0","0","0","",""
"北多摩西部","6","1","1","1","3","1","0","0","0","",""
"北多摩南部","3","4","2","0","0","1","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","5","1","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","96","52","20","13","20","3","42","9","0","",""
