"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","0","4","2","0","0","12","1","8","0","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","6","5","1","1","26","0","71","1","10","2","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"1歳","7","12","11","7","5","54","1","276","4","13","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","10","2","8","7","8","36","2","227","7","7","6","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","7","3","1","4","15","34","0","180","13","2","5","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","9","6","0","1","23","26","1","181","28","4","10","1","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","6","3","0","3","19","25","3","163","41","1","3","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","10","3","0","1","25","28","3","100","15","0","6","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","9","9","0","0","28","27","2","81","11","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","5","6","0","1","26","22","4","49","13","0","5","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"9歳","4","4","0","1","9","18","3","38","10","0","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","32","56","0","1","43","42","6","37","3","0","0","1","0","0","0","1","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","14","38","0","0","6","7","0","3","0","0","1","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"20〜29歳","14","38","0","1","13","35","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","12","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","5","50","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","12","69","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","1","1"
"60〜69歳","3","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","1","0","5"
"70〜79歳","2","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","9"
"80歳以上","2","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","21","0","0","1","0","0","1","1","3","1","18"
"合計","163","452","27","28","221","392","26","1420","146","39","50","4","3","2","0","6","0","1","56","1","0","2","41","0","0","1","0","0","1","1","5","2","36"
