"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","12","0","0","1","10","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","26","2","1","4","13","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","27","1","1","9","15","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"文京","20","0","0","1","4","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","19","0","0","5","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","20","0","0","1","13","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"江東区","64","0","1","4","69","6","2","0","6","0","0","1","1","0","0","1","0","0","0","0","0","","","","","",""
"品川区","37","0","1","2","24","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","11","0","0","1","12","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"大田区","78","0","3","12","81","6","0","0","4","0","1","9","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","96","1","1","12","84","5","0","1","3","0","0","0","0","0","0","1","0","1","0","0","2","","","","","",""
"渋谷区","11","0","0","2","10","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","35","0","0","4","20","6","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"杉並","70","0","0","7","26","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","33","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","16","0","0","1","23","4","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"荒川区","33","0","1","5","27","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"板橋区","29","0","0","1","20","3","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","64","0","0","8","46","2","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","55","0","0","5","62","7","1","1","5","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"葛飾区","64","0","1","4","24","5","0","1","2","0","0","0","0","0","0","0","0","0","3","0","0","","","","","",""
"江戸川","69","1","0","10","70","5","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","125","0","0","18","55","14","0","1","4","1","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","71","0","0","16","49","5","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","70","0","2","1","24","5","1","1","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","89","0","0","3","28","7","1","1","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","115","2","0","9","51","4","0","0","2","0","0","2","4","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","174","0","0","18","59","3","0","0","5","0","0","0","1","0","0","0","0","0","2","0","4","","","","","",""
"多摩小平","146","1","0","16","74","11","0","0","7","0","0","0","1","0","0","0","0","0","3","0","0","","","","","",""
"島しょ","13","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1699","8","14","180","1028","112","8","11","68","1","1","20","11","0","0","7","1","1","8","0","7","","","","","",""
