"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","31","4","0","0"
"1〜4歳","0","0","0","0","0","0","13","25","0","0"
"5〜9歳","0","0","0","0","0","0","3","7","0","0"
"10〜14歳","0","0","0","0","0","0","2","1","0","0"
"15〜19歳","11","1","4","5","1","0","1","0","0","0"
"20〜24歳","40","7","15","16","0","0","0","0","1","0"
"25〜29歳","41","12","14","24","0","1","0","0","0","0"
"30〜34歳","41","17","10","15","2","0","0","0","0","0"
"35〜39歳","27","10","13","16","3","2","2","1","0","0"
"40〜44歳","18","16","6","9","1","1","0","2","0","0"
"45〜49歳","14","9","6","4","1","2","2","0","0","0"
"50〜54歳","3","10","3","1","1","0","2","0","0","0"
"55〜59歳","2","6","4","2","0","2","1","2","0","0"
"60〜64歳","2","5","0","2","1","0","7","2","1","0"
"65〜69歳","1","0","2","0","0","0","11","1","1","0"
"70歳以上","0","1","0","1","0","0","40","9","1","0"
"合計","200","94","77","95","10","8","115","54","4","0"
