"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","8","0","0","0","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","30","0","0","0","17","6","0","1","10","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"1歳","80","0","0","1","57","12","0","1","13","0","1","0","0","1","1","0","0","0","0","0","0","0","0"
"2歳","92","0","0","3","43","14","0","2","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"3歳","119","0","1","3","43","8","0","5","0","0","1","1","0","3","0","0","0","0","0","0","0","0","0"
"4歳","129","0","1","10","47","9","0","4","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"5歳","119","0","0","6","38","6","0","3","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0"
"6歳","97","0","1","3","22","5","0","7","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"7歳","83","0","0","9","21","2","0","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"8歳","101","0","0","4","17","1","0","4","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0"
"9歳","80","0","0","4","17","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","488","0","0","3","40","0","0","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","175","0","0","1","11","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","141","0","1","4","118","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"30〜39歳","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60〜69歳","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"70〜79歳","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2240","0","4","51","493","63","0","39","26","0","3","2","2","17","4","1","0","3","0","0","2","0","0"
