"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","37","6","2","5","2","0","8","1","0","",""
"区南部","3","0","0","0","0","0","1","0","0","",""
"区西南部","7","5","9","0","0","0","2","1","0","",""
"区西部","20","8","5","9","1","0","22","4","0","",""
"区西北部","16","6","3","1","1","0","4","2","0","",""
"区東北部","2","0","0","1","0","0","4","2","0","",""
"区東部","16","2","6","1","3","0","4","6","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","18","1","4","1","3","0","1","0","0","",""
"北多摩西部","23","2","1","1","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","0","0","0","",""
"北多摩北部","2","0","0","0","0","0","3","7","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","144","30","30","19","10","0","49","23","0","",""
