"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","16","6","0","0"
"1〜4歳","0","0","0","0","0","0","9","6","0","0"
"5〜9歳","0","0","0","0","0","0","4","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","9","1","1","3","0","0","3","0","0","0"
"20〜24歳","44","9","8","15","1","0","0","0","0","0"
"25〜29歳","42","16","7","19","3","0","1","0","0","0"
"30〜34歳","38","16","11","18","0","0","2","0","0","0"
"35〜39歳","33","18","15","17","0","2","0","0","0","0"
"40〜44歳","16","11","8","12","0","2","2","2","0","0"
"45〜49歳","7","15","4","11","2","1","0","0","0","0"
"50〜54歳","1","5","2","1","0","0","1","0","1","0"
"55〜59歳","3","4","0","1","0","1","4","3","0","0"
"60〜64歳","2","4","1","0","0","1","10","2","0","0"
"65〜69歳","1","1","1","1","0","0","7","5","0","0"
"70歳以上","0","2","2","0","0","0","46","23","1","0"
"合計","196","102","60","98","6","7","106","48","2","0"
