"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","2","0","0"
"1〜4歳","0","0","0","0","0","0","1","8","0","0"
"5〜9歳","0","0","0","0","0","0","2","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","2","2","0","2","0","0","2","0","0","0"
"20〜24歳","7","4","0","12","0","0","0","0","0","0"
"25〜29歳","17","9","7","20","1","1","2","0","0","0"
"30〜34歳","21","15","14","16","0","1","0","0","0","0"
"35〜39歳","12","11","9","14","0","1","1","0","0","0"
"40〜44歳","14","6","4","11","0","0","1","0","0","0"
"45〜49歳","12","6","5","5","0","1","3","0","1","0"
"50〜54歳","4","2","3","3","0","0","4","1","0","0"
"55〜59歳","6","2","2","0","0","0","0","0","0","0"
"60〜64歳","3","3","0","3","0","0","5","0","0","0"
"65〜69歳","0","1","1","0","0","0","5","1","0","0"
"70歳以上","0","2","1","1","0","0","31","9","2","0"
"合計","98","63","46","87","1","4","62","22","3","0"
