"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","4","0","3","0","8","0","0","3","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"中央区","0","1","2","8","15","0","12","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","1","2","1","4","12","1","12","1","1","1","0","0","0","0","0","0","0","2","0","0","0","","","","","",""
"新宿区","1","2","2","8","19","5","19","0","1","9","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"文京","0","0","0","6","2","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","1","2","6","16","1","11","2","0","6","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","1","0","1","8","1","14","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","1","4","1","13","31","6","60","0","5","7","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","0","1","6","24","2","17","2","2","9","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","7","10","0","21","2","2","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","0","4","3","24","62","4","20","8","6","9","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"世田谷","2","0","2","28","36","9","58","3","5","21","2","1","0","0","0","0","1","0","0","0","0","","","","","",""
"渋谷区","0","0","0","2","9","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","0","0","3","12","10","0","12","1","4","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","1","1","3","10","31","1","17","0","3","3","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"池袋","0","3","1","1","4","1","5","0","0","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","2","0","0","3","16","1","8","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","3","3","6","18","2","9","7","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","1","0","0","12","26","7","24","2","2","8","0","0","0","1","1","0","0","0","0","0","0","","","","","",""
"練馬区","0","1","4","15","23","14","34","3","1","10","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"足立","7","2","2","16","42","1","18","4","5","12","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","1","0","0","3","29","0","25","0","4","5","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","0","0","1","19","29","4","38","2","3","20","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","3","2","16","52","4","14","1","7","7","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"町田市","0","0","1","16","36","0","17","4","0","6","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","2","8","17","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","4","3","11","24","3","7","1","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","1","0","7","16","3","8","7","2","6","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","0","0","9","14","51","11","38","5","8","7","3","6","0","0","0","0","0","1","0","1","0","","","","","",""
"多摩小平","0","3","17","25","45","3","55","2","8","12","4","1","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","17","36","69","314","716","85","603","57","76","180","18","12","1","1","7","0","1","4","0","1","0","","","","","",""
