"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","2","5","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","8","0","1","44","1","1","0","14","0","0","0","0","0","0","0","0","0","0","0"
"1歳","10","17","3","9","135","18","2","1","13","0","0","2","1","0","0","0","0","0","1","0"
"2歳","9","3","0","9","88","17","2","2","5","0","0","6","2","1","0","0","0","0","0","0"
"3歳","21","7","1","13","66","18","0","1","1","0","0","6","0","0","0","1","0","0","0","0"
"4歳","26","4","1","24","70","7","1","3","0","0","0","5","0","0","0","0","0","0","0","0"
"5歳","32","1","2","26","77","9","1","2","0","0","0","5","1","0","0","0","0","0","0","0"
"6歳","26","0","0","14","65","3","0","1","0","0","0","3","0","0","0","0","0","0","0","0"
"7歳","13","1","0","15","59","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"8歳","28","0","1","14","50","3","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"9歳","27","0","0","8","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","45","0","0","19","115","1","0","1","0","0","0","3","1","0","0","0","0","0","0","0"
"15〜19歳","26","0","0","0","23","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","34","0","0","0","100","1","0","0","0","0","0","1","0","0","0","2","0","0","0","0"
"30〜39歳","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"40〜49歳","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50〜59歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","359","46","8","153","939","81","7","12","33","0","0","35","5","1","0","9","0","0","1","0"
