"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","10","2","5","10","0","0","0","0","0","2","2"
"中央区","6","4","2","3","0","0","0","0","0","3","0"
"みなと","10","32","8","2","0","0","4","0","0","2","1"
"新宿区","31","19","46","18","1","0","16","1","0","7","2"
"文京","2","1","1","2","0","0","2","0","0","1","1"
"台東","4","0","1","14","2","0","0","0","0","2","0"
"墨田区","1","1","1","1","1","0","2","1","0","2","1"
"江東区","10","3","3","4","0","0","0","0","0","2","0"
"品川区","2","5","1","2","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","8","0","0","2","0","0","3","0","0","2","1"
"世田谷","0","0","0","0","0","0","5","0","0","0","2"
"渋谷区","15","15","11","5","0","0","0","0","0","5","1"
"中野区","4","0","1","2","1","0","0","0","0","2","0"
"杉並","5","0","1","2","0","0","1","1","0","2","2"
"池袋","18","9","3","10","2","0","3","2","0","3","1"
"北区","2","0","1","1","0","0","0","0","0","1","0"
"荒川区","3","4","0","1","0","0","0","0","0","1","0"
"板橋区","5","1","0","3","0","0","1","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","9","0","0","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","5","0","0","0","1"
"江戸川","6","1","0","2","1","0","0","0","0","2","0"
"八王子市","5","0","1","1","1","0","0","0","0","4","1"
"町田市","4","1","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","15","0","1","1","0","0","0","0","0","2","1"
"多摩府中","0","0","2","1","0","0","13","2","0","3","3"
"多摩小平","0","0","0","0","0","0","1","1","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","175","98","89","87","9","0","56","8","0","55","25"
