"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","0","0","0","9","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","5","1","3","7","32","1","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","8","0","3","18","43","2","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","24","6","0","15","48","2","0","4","1","0","0","0","1","0","0","0","0","0","0","0","1","12","8","1","2","2","0"
"文京","20","1","1","11","31","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","11","1","0","11","73","1","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","21","2","1","12","11","1","0","1","4","0","0","1","0","0","1","0","0","0","0","3","1","8","5","1","1","1","0"
"江東区","19","2","0","17","110","0","0","8","3","0","0","0","0","0","1","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","14","1","2","22","58","3","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","11","8","1","0","0","0"
"目黒区","22","3","2","15","36","1","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","45","2","2","46","127","7","3","21","6","0","1","2","0","0","0","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","70","4","3","58","115","4","1","8","4","0","5","1","0","0","1","0","0","0","0","0","3","25","16","2","2","2","0"
"渋谷区","10","0","0","2","20","1","1","3","0","0","1","0","0","0","1","0","0","0","0","0","0","7","4","1","1","1","0"
"中野区","27","0","0","19","43","1","0","5","3","0","1","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","20","1","1","12","44","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","17","11","1","2","2","0"
"池袋","14","2","0","3","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"北区","32","0","0","2","24","1","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"荒川区","10","3","0","13","38","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","22","0","0","5","51","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","36","2","2","50","79","11","0","3","4","0","1","0","1","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","43","5","1","24","83","9","0","7","11","0","2","0","0","0","0","0","0","0","0","0","0","20","13","1","0","0","0"
"葛飾区","19","0","0","26","82","0","1","1","5","0","1","0","0","0","0","0","0","0","0","0","2","13","8","1","1","1","0"
"江戸川","24","5","0","33","92","0","0","7","5","0","1","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","35","3","0","34","96","7","1","12","2","0","4","1","0","0","0","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","45","1","1","37","80","2","1","6","5","0","2","1","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","28","2","1","9","48","1","1","4","2","0","1","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","35","0","1","15","51","1","0","7","3","0","1","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","31","2","0","42","75","8","1","5","4","0","0","0","0","0","0","0","0","0","0","1","1","21","14","2","1","1","0"
"多摩府中","96","2","4","57","152","8","0","12","5","0","1","2","0","0","1","0","1","1","0","0","3","33","21","3","3","3","0"
"多摩小平","58","3","9","52","75","5","0","9","13","0","2","1","0","0","0","0","0","0","0","0","1","22","14","1","2","2","0"
"島しょ","69","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","920","54","37","667","1836","83","12","148","102","0","26","10","3","0","6","0","1","2","0","4","12","415","261","36","25","25","0"
