"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","4","2","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","4","3","0","2","2","0"
"中央区","0","0","0","2","9","1","1","1","3","0","1","0","0","0","0","0","0","0","0","0","4","3","1","0","0","0"
"みなと","0","6","6","9","20","60","1","0","6","0","2","2","0","0","0","0","0","0","0","0","8","6","0","1","1","0"
"新宿区","0","5","1","9","31","1","3","0","2","0","0","0","0","0","0","1","0","0","2","0","9","6","2","2","2","0"
"文京","0","1","3","3","7","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","5","3","1","1","1","0"
"台東","0","3","0","7","20","2","1","0","5","0","0","7","0","1","0","0","0","0","0","0","5","3","0","0","0","0"
"墨田区","1","1","0","4","15","5","2","0","2","0","0","2","0","0","0","0","0","0","0","0","6","3","1","1","1","0"
"江東区","2","2","1","9","44","4","3","1","8","0","1","8","0","0","0","0","0","0","0","0","9","4","1","0","0","0"
"品川区","1","2","0","6","58","2","1","0","7","0","1","3","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"目黒区","0","0","0","1","9","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","6","3","1","0","0","0"
"大田区","2","3","3","10","51","2","7","5","9","1","0","8","1","1","0","0","0","0","0","0","16","9","2","1","1","0"
"世田谷","5","4","1","9","72","9","2","0","2","0","1","5","0","0","0","0","0","2","0","0","15","8","2","2","2","0"
"渋谷区","0","0","0","1","17","17","1","0","5","0","0","2","0","0","0","0","0","0","0","0","6","4","1","1","1","0"
"中野区","4","1","0","4","79","2","2","0","1","0","0","0","0","0","0","1","0","0","0","0","9","6","1","1","1","0"
"杉並","1","3","0","5","85","3","2","0","4","1","0","4","0","0","0","0","0","0","0","0","12","6","1","1","1","0"
"池袋","1","0","0","2","17","2","1","0","3","0","0","2","0","0","0","0","0","0","1","0","7","4","1","1","1","0"
"北区","0","0","1","4","34","2","2","0","4","0","0","1","1","0","0","0","0","0","0","0","8","4","1","0","0","0"
"荒川区","1","9","0","6","26","1","0","0","2","0","0","4","1","0","0","1","0","0","0","0","4","2","1","0","0","0"
"板橋区","0","0","0","2","21","3","1","0","3","1","0","2","0","0","0","1","0","0","0","0","12","6","2","1","1","0"
"練馬区","5","0","0","5","39","6","0","1","3","0","3","2","0","0","0","0","0","0","0","0","12","5","2","0","0","0"
"足立","6","0","0","4","55","8","6","2","1","0","1","9","0","0","0","0","0","0","0","0","12","5","2","0","0","0"
"葛飾区","2","0","0","3","13","3","2","0","1","0","0","3","0","0","0","1","0","0","2","1","9","4","1","1","1","0"
"江戸川","1","3","9","38","39","4","4","1","3","0","0","3","0","0","0","1","0","0","0","0","12","5","2","0","0","0"
"八王子市","0","8","4","50","78","20","6","1","6","0","0","5","1","0","0","0","0","0","0","0","10","4","2","1","1","0"
"町田市","8","2","2","31","117","14","16","0","9","0","2","4","1","0","0","0","0","0","0","0","9","4","1","0","0","0"
"西多摩","0","4","1","4","44","8","1","0","4","0","0","0","0","0","0","0","0","0","0","0","9","5","1","1","1","0"
"南多摩","0","12","0","26","30","11","5","2","1","0","1","0","0","0","0","0","0","0","0","0","9","4","1","0","0","0"
"多摩立川","0","1","0","8","43","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","6","2","1","1","0"
"多摩府中","16","0","0","5","38","3","3","1","3","0","1","1","0","0","0","0","0","0","4","0","21","10","3","2","3","0"
"多摩小平","17","34","0","17","93","5","4","1","9","1","1","3","0","0","0","4","0","0","0","0","14","6","2","2","2","0"
"島しょ","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","77","106","32","284","1209","204","80","17","107","5","15","81","5","2","0","11","0","2","11","1","287","148","39","24","25","0"
