"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","18","3","3","4","0","1","4","2","0","",""
"区南部","2","2","1","3","0","0","4","0","0","",""
"区西南部","8","2","0","1","0","0","18","14","0","",""
"区西部","33","6","9","26","0","0","21","7","2","",""
"区西北部","16","3","7","15","0","0","7","6","0","",""
"区東北部","2","2","2","3","0","0","6","0","0","",""
"区東部","15","9","7","24","0","0","3","3","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","5","0","1","",""
"北多摩西部","6","2","3","18","0","0","0","0","0","",""
"北多摩南部","2","0","0","2","0","0","0","1","0","",""
"北多摩北部","0","0","0","0","0","0","4","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","102","29","32","96","0","1","72","33","3","",""
