"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","29","0","0","0","9","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"中央区","26","2","0","5","18","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","84","5","1","9","27","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"新宿区","69","7","0","4","33","0","3","0","2","0","0","2","0","0","0","0","0","0","0","0","0","4","","","","","",""
"文京","55","1","1","7","18","0","0","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"台東","20","1","3","3","31","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","52","2","1","3","46","1","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","175","4","0","17","100","8","1","5","4","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","80","4","0","8","79","6","1","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","27","6","0","2","24","0","4","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","222","9","6","19","106","9","3","3","3","1","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","292","7","4","15","107","5","2","1","3","0","0","1","1","1","0","0","0","0","0","0","0","3","","","","","",""
"渋谷区","32","0","0","2","22","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1","","","","","",""
"中野区","81","3","0","6","62","6","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","155","7","7","5","48","3","2","3","2","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"池袋","84","4","4","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"北区","96","4","0","3","51","2","0","6","1","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","115","8","0","1","24","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","122","0","0","1","46","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"練馬区","306","4","1","19","77","7","0","12","6","0","0","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"足立","176","7","2","11","120","6","0","2","1","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","113","4","0","10","73","7","12","5","3","0","1","0","1","0","0","0","0","0","0","0","0","2","","","","","",""
"江戸川","191","7","12","33","77","7","2","6","1","0","0","1","0","2","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","232","14","2","26","100","6","0","8","3","1","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","202","2","2","33","72","2","0","8","3","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","151","10","2","6","22","5","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","142","21","1","16","44","5","1","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","285","9","4","18","77","9","0","7","0","0","0","5","2","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","333","15","4","35","115","16","8","3","7","0","0","2","0","1","0","0","0","1","0","0","0","6","","","","","",""
"多摩小平","271","33","7","35","88","9","0","13","6","0","1","2","1","0","0","0","0","0","1","0","0","0","","","","","",""
"島しょ","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4221","200","64","359","1724","128","44","105","65","2","3","31","10","4","0","6","0","1","3","0","1","22","","","","","",""
