"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","5","4","0","0"
"1〜4歳","0","0","0","0","0","0","7","12","0","0"
"5〜9歳","0","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","0","0","0","2","0","0","0"
"15〜19歳","2","0","1","3","0","0","1","1","0","0"
"20〜24歳","23","0","3","17","0","2","1","0","0","0"
"25〜29歳","33","8","8","18","0","2","0","0","0","0"
"30〜34歳","14","11","6","11","0","0","0","0","0","0"
"35〜39歳","30","8","10","8","0","4","2","0","0","0"
"40〜44歳","10","3","4","3","0","1","0","1","0","0"
"45〜49歳","15","6","8","3","0","0","2","5","0","0"
"50〜54歳","4","9","3","2","0","1","0","0","0","0"
"55〜59歳","4","3","2","3","0","1","2","0","0","0"
"60〜64歳","0","2","0","2","0","0","3","1","0","0"
"65〜69歳","0","0","2","0","0","0","1","3","0","0"
"70歳以上","0","2","0","0","0","0","31","9","1","0"
"合計","135","52","47","70","0","11","57","37","1","0"
