"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","10","67","2","2","13","28","4","45","7","1","6","0","0","0","0","0","0","1","0","0","0","1","10","","","","","",""
"区南部","7","54","2","6","8","41","1","76","15","4","10","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","10","69","4","3","12","23","6","90","15","5","10","3","1","0","0","2","1","1","4","0","0","1","8","","","","","",""
"区西部","8","73","3","3","15","39","2","81","8","2","4","0","0","3","0","2","1","0","6","0","0","1","12","","","","","",""
"区西北部","12","129","1","5","35","40","2","141","24","3","13","3","3","0","0","1","0","0","0","0","0","0","4","","","","","",""
"区東北部","17","109","9","4","24","34","1","96","3","5","9","1","0","1","0","0","0","1","4","0","0","2","3","","","","","",""
"区東部","12","115","1","2","22","43","1","118","9","1","9","1","2","0","0","3","0","0","3","0","0","1","3","","","","","",""
"西多摩","0","32","1","0","1","5","1","18","2","2","0","0","0","0","0","1","0","0","3","0","0","0","4","","","","","",""
"南多摩","1","103","2","2","23","50","1","143","7","5","11","1","1","0","0","1","0","0","0","0","0","0","4","","","","","",""
"北多摩西部","4","48","2","1","12","7","0","53","4","1","2","1","0","0","0","1","0","0","0","0","0","1","0","","","","","",""
"北多摩南部","11","79","1","4","25","16","2","107","19","3","7","0","6","0","0","1","1","0","4","0","0","0","7","","","","","",""
"北多摩北部","5","75","0","1","23","29","1","116","11","6","7","1","1","0","0","1","1","0","2","0","0","0","7","","","","","",""
"島しょ","0","8","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"合計","97","961","28","33","213","355","22","1087","124","38","88","12","15","4","0","13","4","3","26","0","0","7","63","","","","","",""
