"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","3","31","800","1","6","18","93","12","13","3","3","30","1","1","0","0","0","0","0","0","2","0","0","2","","","","","","",""
"区南部","5","33","578","3","7","33","50","11","15","10","2","16","0","2","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"区西南部","2","40","895","1","4","27","62","5","7","5","1","14","2","2","0","0","2","0","0","1","0","0","0","3","","","","","","",""
"区西部","4","23","847","3","3","32","47","10","3","0","4","9","1","4","2","0","0","0","0","0","0","0","0","5","","","","","","",""
"区西北部","10","73","1352","0","9","56","87","18","8","3","10","12","2","2","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"区東北部","6","46","1214","4","10","30","85","0","4","8","5","5","1","1","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"区東部","1","34","1084","3","9","25","103","6","12","3","5","9","2","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"西多摩","2","6","119","0","1","7","7","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","1","1","","","","","","",""
"南多摩","5","50","2212","6","4","69","203","7","10","26","14","18","3","1","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"北多摩西部","3","20","456","2","0","39","39","11","1","0","2","2","2","0","0","0","2","0","0","0","0","0","0","4","","","","","","",""
"北多摩南部","4","36","1060","3","3","54","59","9","3","3","4","7","0","2","0","0","0","0","0","1","0","0","0","8","","","","","","",""
"北多摩北部","3","17","841","3","10","27","92","5","6","4","3","16","1","2","0","0","1","0","0","0","0","0","1","3","","","","","","",""
"島しょ","0","8","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","","","","","","",""
"合計","48","417","11472","29","66","417","927","94","82","68","53","138","15","17","3","0","7","0","0","6","2","0","2","31","","","","","","",""
