"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","8","4","0","0"
"1〜4歳","0","0","0","0","0","0","2","22","0","0"
"5〜9歳","0","0","0","0","0","0","3","6","0","0"
"10〜14歳","2","0","0","0","0","0","1","1","0","0"
"15〜19歳","10","2","3","5","0","0","1","0","0","0"
"20〜24歳","33","6","13","11","2","0","1","0","0","0"
"25〜29歳","46","12","9","12","1","0","0","0","0","0"
"30〜34歳","32","26","13","15","3","0","2","0","0","0"
"35〜39歳","28","12","10","7","5","1","1","1","0","0"
"40〜44歳","19","9","6","7","1","1","2","3","0","0"
"45〜49歳","8","12","4","8","1","0","3","0","0","0"
"50〜54歳","3","6","2","2","1","0","2","0","0","0"
"55〜59歳","1","4","2","2","0","0","4","0","0","0"
"60〜64歳","1","6","2","0","0","0","7","1","0","0"
"65〜69歳","0","3","1","0","0","0","5","3","0","0"
"70歳以上","0","3","0","1","1","0","39","17","1","0"
"合計","183","101","65","70","15","2","81","58","1","0"
