"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","0","0","0","7","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","0","0","4","6","13","1","0","0","0","0","0","0","0","2","0","0","0","3","0","0","1","0","0","","","","","",""
"新宿区","0","0","0","1","19","5","1","0","0","0","0","0","0","1","0","0","0","1","0","1","4","1","0","","","","","",""
"文京","0","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","0","1","1","1","16","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","0","0","4","20","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","0","0","0","1","31","0","2","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","1","0","4","62","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","0","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","0","0","1","13","70","2","3","1","3","0","0","2","0","5","0","1","0","0","0","0","0","0","0","","","","","",""
"世田谷","0","0","0","1","35","2","1","3","4","0","0","0","1","1","0","0","0","0","0","0","1","0","0","","","","","",""
"渋谷区","0","0","0","0","23","3","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","0","0","0","10","24","0","2","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","0","0","3","4","27","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"北区","0","0","2","4","17","3","0","1","4","0","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","0","1","1","6","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","0","0","2","26","0","2","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","","","","","",""
"練馬区","0","0","0","7","11","0","2","2","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","0","0","0","0","9","6","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","0","0","0","0","17","5","4","1","5","0","0","2","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","0","2","0","27","42","2","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","0","0","0","3","35","1","2","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"町田市","1","0","0","7","31","3","2","0","1","0","0","1","0","3","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","3","40","3","0","1","2","0","0","0","0","1","0","0","0","0","0","0","3","0","0","","","","","",""
"南多摩","0","0","0","2","23","0","2","0","2","1","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","0","0","1","16","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","0","0","0","3","21","4","2","1","4","0","0","0","0","2","2","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","0","2","6","2","65","5","1","5","5","0","0","1","0","7","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1","6","18","115","721","59","39","22","50","1","0","8","1","36","6","1","0","6","0","2","10","1","0","","","","","",""
