"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","27","34","11","18","0","0","13","2","0","0","",""
"区南部","11","2","1","2","0","0","0","0","0","0","",""
"区西南部","10","3","1","4","0","0","3","0","0","0","",""
"区西部","37","19","14","41","1","4","18","5","0","0","",""
"区西北部","14","3","7","6","0","1","3","2","0","0","",""
"区東北部","0","2","0","4","0","0","1","2","1","0","",""
"区東部","13","10","0","5","0","1","3","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","1","0","0","0","0","0","0","",""
"北多摩南部","2","0","0","1","0","0","20","14","0","0","",""
"北多摩北部","0","0","0","0","0","0","3","3","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","114","73","34","82","1","6","64","29","1","0","",""
