"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","5","20","1","2","5","28","1","47","11","1","0","0","0","0","0","1","0","0","6","1","0","1","3","","","","","",""
"区南部","9","7","3","4","8","50","1","42","11","4","3","0","0","1","0","0","0","0","7","0","0","0","1","","","","","",""
"区西南部","27","16","4","1","11","16","4","50","4","2","1","0","1","0","0","2","0","1","1","0","0","0","9","","","","","",""
"区西部","20","18","1","0","14","34","5","39","12","3","2","1","0","0","0","0","0","0","8","0","0","0","4","","","","","",""
"区西北部","37","39","7","1","24","28","9","75","22","5","1","2","1","0","0","1","0","0","1","0","0","0","1","","","","","",""
"区東北部","20","21","3","3","15","26","2","56","9","3","0","0","1","0","0","2","0","0","3","0","0","1","1","","","","","",""
"区東部","23","30","1","1","13","17","1","87","18","6","2","1","3","0","0","1","0","0","6","0","0","1","1","","","","","",""
"西多摩","8","4","0","1","4","1","4","18","1","1","0","0","0","0","0","0","0","0","1","0","0","0","3","","","","","",""
"南多摩","30","28","4","1","18","40","3","102","23","2","1","1","1","0","0","1","0","0","0","0","0","0","5","","","","","",""
"北多摩西部","18","15","2","0","11","7","2","36","5","2","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"北多摩南部","24","23","1","1","19","30","3","96","17","3","1","1","1","1","0","0","0","0","2","0","0","1","1","","","","","",""
"北多摩北部","8","15","1","1","21","19","2","69","17","2","1","1","1","0","0","1","0","0","3","0","0","0","3","","","","","",""
"島しょ","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","230","237","28","16","163","296","37","717","150","34","14","7","9","2","0","9","0","1","38","1","0","4","33","","","","","",""
