"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","33","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","25","0","0","0","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","47","0","2","4","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","69","0","0","1","24","0","0","0","1","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","","","","","",""
"文京","40","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"台東","60","0","0","2","23","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","36","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","39","0","0","2","12","0","0","0","3","0","0","1","0","1","1","0","0","2","0","0","0","0","0","0","","","","","",""
"品川区","75","0","0","0","15","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","17","0","0","1","9","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","139","0","0","7","24","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","115","0","1","0","45","4","0","2","3","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","64","0","0","0","29","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","134","0","0","1","19","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","87","0","0","2","19","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","30","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","87","0","0","1","8","2","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","12","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","80","0","0","0","6","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","63","0","0","1","5","3","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","61","0","0","3","24","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","118","0","0","5","11","3","0","0","1","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","79","0","0","4","49","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","53","0","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"秋川","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","41","0","0","1","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩川","42","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","66","0","0","0","14","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","65","0","0","1","6","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"村山大和","62","0","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"府中小金井","63","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"狛江調布","58","0","0","2","9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"三鷹武蔵野","105","0","0","0","22","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩小平","179","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩東村山","87","0","1","1","19","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2415","0","4","40","465","45","1","7","25","0","1","4","4","9","6","0","0","6","0","1","0","0","0","3","","","","","",""
