"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","5","16","2","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","13","23","8","2","70","0","1","0","13","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","6","14","54","31","5","147","0","21","0","31","44","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","4","17","28","13","10","108","0","7","0","6","35","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","10","12","15","10","30","127","1","9","0","1","22","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","23","9","4","7","43","115","1","7","0","1","35","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5歳","27","5","1","4","27","105","3","4","0","0","20","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","45","7","1","2","55","91","3","0","0","1","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","38","14","1","2","28","69","3","2","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","44","18","0","1","6","56","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","23","12","1","0","14","33","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","92","100","0","1","20","75","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","36","69","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","11","109","1","2","4","35","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","5","93","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","22","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","6","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","397","832","145","83","247","1043","22","52","0","54","179","16","10","1","2","3","0","1","0","0","0","1","0","0","0","0","0","1","0"
