"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","21","0","0","0","5","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","","","","","",""
"中央区","22","0","0","2","6","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","56","0","2","6","27","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","73","1","0","5","29","2","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","40","1","0","0","17","1","0","2","2","0","0","1","0","0","0","0","0","0","1","0","0","1","","","","","",""
"台東","71","1","0","0","21","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","73","1","0","3","13","0","0","2","2","0","0","2","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江東区","108","0","1","18","68","2","0","5","2","0","0","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"品川区","70","0","0","6","33","0","0","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","37","3","0","1","20","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","170","0","2","17","85","3","3","5","6","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","240","2","1","14","73","5","0","0","3","0","1","1","1","0","0","0","0","0","0","0","0","3","","","","","",""
"渋谷区","60","1","0","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","84","0","0","5","36","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","166","0","0","10","55","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","60","2","0","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","107","1","0","3","23","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","55","1","2","8","32","3","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","101","0","0","8","42","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","168","4","0","20","49","5","0","19","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","216","5","0","13","63","4","0","0","6","0","0","8","1","0","0","2","0","0","0","0","0","0","","","","","",""
"葛飾区","182","2","0","2","40","0","0","1","5","0","0","0","1","0","0","0","0","0","0","1","0","1","","","","","",""
"江戸川","222","2","0","29","49","0","1","3","2","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","258","5","0","33","75","2","1","8","0","0","0","2","1","0","0","0","0","0","0","0","0","1","","","","","",""
"町田市","233","0","0","36","43","3","1","3","1","0","0","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","122","0","0","8","19","1","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","206","3","0","8","35","2","0","6","2","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩立川","185","0","0","15","43","2","0","2","2","0","2","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","431","5","2","19","69","8","2","7","8","1","0","1","0","0","0","0","0","0","1","0","0","0","","","","","",""
"多摩小平","198","4","4","45","38","7","1","4","7","0","0","1","0","0","0","0","0","1","0","0","0","1","","","","","",""
"島しょ","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4036","44","14","341","1134","53","13","103","64","3","4","25","6","1","0","5","0","1","2","1","0","9","","","","","",""
