"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","17","10","0"
"1〜4歳","0","0","0","0","0","0","4","17","0"
"5〜9歳","0","0","0","0","0","0","3","3","0"
"10〜14歳","0","0","0","0","1","0","4","1","1"
"15〜19歳","17","2","6","4","0","0","2","0","0"
"20〜24歳","47","9","8","23","1","0","0","1","0"
"25〜29歳","50","21","22","25","3","1","0","1","0"
"30〜34歳","36","18","11","16","3","0","2","0","0"
"35〜39歳","28","6","10","10","2","0","2","2","0"
"40〜44歳","25","12","5","11","1","0","2","1","0"
"45〜49歳","4","5","6","3","3","0","1","1","0"
"50〜54歳","6","3","2","2","0","0","9","0","0"
"55〜59歳","0","6","0","2","0","0","7","1","0"
"60〜64歳","0","4","1","2","1","0","6","1","0"
"65〜69歳","0","3","0","0","0","0","7","1","0"
"70歳以上","0","3","0","0","1","1","67","3","2"
"合計","213","92","71","98","16","2","133","43","3"
