"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","5","2","0"
"1〜4歳","0","0","0","0","0","0","1","11","0"
"5〜9歳","0","0","0","0","0","0","2","3","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","9","2","2","5","2","0","0","0","0"
"20〜24歳","42","10","2","8","8","0","0","1","0"
"25〜29歳","30","10","7","11","7","1","1","1","0"
"30〜34歳","15","13","1","2","5","0","0","0","0"
"35〜39歳","7","7","1","5","0","0","1","0","0"
"40〜44歳","1","4","0","0","4","0","2","1","1"
"45〜49歳","1","5","0","0","5","0","3","0","0"
"50〜54歳","0","1","0","1","4","0","2","1","0"
"55〜59歳","0","1","0","0","1","0","0","1","0"
"60〜64歳","0","0","0","0","1","0","1","0","0"
"65〜69歳","0","1","0","0","0","0","6","1","1"
"70歳以上","0","1","0","0","1","0","27","2","0"
"合計","105","55","13","32","38","1","51","24","2"
