"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","36","27","13","19","0","0","7","3","0","0","",""
"区南部","2","0","0","1","0","0","1","0","0","0","",""
"区西南部","4","5","1","3","0","0","2","0","1","0","",""
"区西部","38","12","23","32","0","6","11","3","2","0","",""
"区西北部","12","5","10","10","0","1","3","2","0","0","",""
"区東北部","5","0","0","1","0","0","4","2","0","0","",""
"区東部","19","8","4","14","0","1","4","4","1","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","1","0","0","49","13","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","4","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","117","57","51","81","0","8","82","31","4","0","",""
